,name,menu,address,zzim,rating
19543,향토,"매생이국, 보쌈, 막걸리",서울특별시 영등포구 여의도동 35-2,14,34점
19544,여의도,"수제도시락, 막걸리",서울특별시 영등포구 여의도동 35,11,33점
19545,무한연어,"연어무한리필, 연어, 술집",서울특별시 영등포구 영등포동3가 23-25,37,33점
19546,보드람치킨,"치킨, 술집, 치맥",서울특별시 영등포구 당산동3가 237-2,0,33점
19547,바오밥,"수제맥주, 피맥",서울특별시 영등포구 영등포동3가 19-2,50,32점
19548,코지로,"이자카야, 꼬치, 술집",서울특별시 영등포구 당산동6가 310,40,32점
19549,테누토,"위스키바, 위스키, 칵테일바",서울특별시 영등포구 여의도동 26,24,32점
19550,바스버거,"수제버거, 버거, 수제맥주",서울특별시 영등포구 여의도동 14-21 LG여의도에클라드 지하1층,1,32점
19551,바밤바,"칵테일바, 고양이카페, 술집",서울특별시 영등포구 영등포동3가 23-8,20,32점
19552,로바다야끼소담,"로바다야끼, 이자카야, 술집",서울특별시 영등포구 여의도동 45-19,4,32점
19553,문화포차,"문어숙회, 문어, 포차",서울특별시 영등포구 당산동3가 85-1,10,31점
19554,이목구비,"수제맥주, 맥주집",서울특별시 영등포구 영등포동4가 127,11,31점
19555,문래돼지불백,"돼지불백, 불백, 맥주",서울시 영등포구 문래동 58-98,18,31점
19556,루트439,"피자, 맥주, 세계맥주",서울시 영등포구 문래동2가 14-12,1,31점
19557,불탄집,"러시아, 술집, 맥주",서울특별시 영등포구 문래동3가 58-33,6,31점
19558,수란잔,"이자카야, 술집",서울특별시 영등포구 당산동4가 32-106,7,31점
19559,감계무량,"치킨, 맥주, 생맥주",서울시 영등포구 당산동5가 23,0,31점
19560,야마토,"이자카야, 일식, 생맥주",서울특별시 영등포구 여의도동 61-1,5,31점
19561,양키스피자,"수제버거, 피자, 피맥",서울특별시 영등포구 문래동3가 58-75,20,30점
19562,토방골,"보쌈, 막걸리",서울특별시 영등포구 문래동3가 69-2,1,30점
19563,주유별장,"퓨전한식, 막걸리, 청포도막걸리",서울특별시 영등포구 여의도동 45-1,3,30점
19564,전선생,"막걸리, 모듬전",서울 영등포구 여의도동 26,3,30점
19565,바오밥,"피맥, 수제맥주",서울특별시 영등포구 여의도동 45-19,10,30점
19566,아트몬스터,"수제맥주, 호프, 맥주",서울특별시 영등포구 영등포동3가 20-5,3,29점
19567,광안리,"연어, 횟집, 술집",서울특별시 영등포구 영등포동3가 10-28,2,29점
19568,한신포차,"닭발, 국물닭발, 술집",서울특별시 영등포구 영등포동3가 3-7,9,29점
19569,머스커비,"옛날후라이드, 옛날치킨, 치맥",서울특별시 영등포구 당산동 171-15,0,29점
19570,돈정포원,"실내포차, 술집",서울특별시 영등포구 영등포동5가 18,15,29점
19571,고릴라쉐프,"맥주, 술집",서울특별시 영등포구 여의도동 46-1,7,28점
19572,치베디아모,"삼겹살파스타, 파스타, 술집",서울 영등포구 문래동2가 19-2,32,28점
19573,갓포아키,"갓포요리, 일식, 이자카야",서울특별시 영등포구 여의도동 17-5,5,28점
19574,블랑,"맥주, 프렌치펍",서울시 영등포구 당산동3가 63,3,28점
19575,원조골뱅이,"통골뱅이, 술집",서울특별시 영등포구 당산동3가 222,5,28점
19576,구포국수,"국수, 멸치국수, 막걸리",서울특별시 영등포구 여의도동 45-15,9,27점
19577,토모니,"일본, 이자카야",서울특별시 영등포구 여의도동 17-9,1,27점
