,station,name,ribbonType,menu,priceRange
42,서울역,촛불1978,RIBBON_ONE,"채끝등심스테이크(300g 4만5천8백원), 코스(6만9천원), 세트(1인 5만9천원), 돈가스(1만1천8백원), 치즈돈가스, 남산골얼음돈가스(각 1만3천8백원)",4~10만원대
43,서울역,티원(서울역점),RIBBON_ONE,"티원 짜장면(9천원), 해물짬뽕(1만원), 생토마토탕수육(3만원), 티원소고기탕수육 (3만8천원), 새우가지(4만원), 망고크림 새우(3만6천원), 점심코스 (4만5천원~6만원), 저녁코스 (5만원~10만원)",4~10만원대
44,서울역,남산골산채집,NOT,"산채비빔밥(8천원), 샐러드돈가스비빔밥(1만1천8백원), 불고기돌솥밥(1만2천8백원), 치즈돈가스(1만1천8백원), 돈가스(9천8백원), 모둠보쌈(3만5천원)",1만원 미만
45,서울역,남산돈까스,NOT,"돈가스(8천원), 생선가스(8천원), 모둠정식(9천원)",1만원 미만
46,서울역,남산삼계탕,NOT,"삼계탕(1만2천원), 전복삼계탕(2만원), 전복죽(1만2천원), 추어탕(7천원), 낙지볶음(1만2천원), 닭볶음탕(3만5천원), 뼈없는닭발(1만원)",1~2만원대
47,서울역,남산설렁탕,NOT,"설렁탕(소 8천원, 대 1만2천원), 우거지탕(9천원), 우거지갈비탕, 갈비탕(각 1만2천원), 수육(소 3만5천원, 대 4만원)",1만원 미만
48,서울역,다파비오,NOT,"파스타(1만1천원~1만4천원), 토르티야피자(8천5백원), 로즈마리등심구이(200g 2만8천원), 그린후추안심구이(150g 3만원), 런치세트메뉴(1인 9천9백원)",1~2만원대
49,서울역,달볶이,NOT,"달볶이, 순대, 튀김, 어묵, 꼬마김밥(각 2천원)",1만원 미만
50,서울역,대나무집,NOT,"와인삼겹살(1만1천원), 항정살(1만2천원)",1~2만원대
51,서울역,더하우스1932,NOT,"베리에이션커피(4천5백원~6천원), 핸드드립커피(6천원~1만원), 티(6천5백원~7천5백원), 밀크티(7천원), 에이드(6천5백원), 마늘바게트(4천2백원), 크로아상(3천8백원), 팡도르(5천원)",1만원 미만
52,서울역,더함,NOT,"한식코스(1인 2만5천원, 3만9천원), 런치스페셜코스(1인 2만원), 셰프스페셜코스(1인 8만원, 10만원), 한우육개장)9천원), 떡갈비(소 1만3천원, 대 2만원), 육전(소 1만5천원, 대 2만7천원), 꽃게장(4만5천원)",2~4만원대
53,서울역,도란도란,NOT,"음료, 커피(1만원 미만)",1만원 미만
54,서울역,동보성,NOT,"삼선짜장면, 삼선짬뽕(각 8천8백원), 삼선볶음밥(1만원), 탕수육(소 2만4천원, 대 3만원), 북경오리(6만6천원), 왕새우칠리소스(5만7천원, 8만5천원), 코스(5만원~25만원)",2~4만원대
55,서울역,동아냉면(숙대2호점),NOT,"만두(4천원), 냉면(4천원, 5천원), 비빔냉면(4천원, 5천원)",1만원 미만
56,서울역,뚱뚱이족발,NOT,"족발(2만5천원, 3만원)",1~2만원대
57,서울역,루싱,NOT,"매생이통전복아스파라거스(1만8천원), 삼선샥스핀(소 4만8천원, 대 6만5천원),  사천식볶음짜장면(9천원), 해물누룽지(소 4만원, 대 5만6천원), 런치코스(2만8천원~5만원), 디너코스(4만5천원~6만5천원), 저녁보양식코스(7만8천원, 8만8천원)",2~4만원대
58,서울역,르몽블랑,NOT,"베리에이션커피(3천5백원~5천원), 티(7천원), 에이드(7천원), 털실무스케이크(9천5백원), 에클레어(6천5백원)",1만원 미만
59,서울역,만복림,NOT,"오향장육(소 2마5천원, 중 4만원), 상어지느러미요리(소 4만5천원, 중 6만6천원), 제비집요리(소 5만원, 중 7만원), 류산슬(소 3만원, 중 4만5천원), 만두(7천원), 볶음밥(9천원~1만1천원), 삼선짜장면(7천원), 삼선짬뽕(8천원), 기스면(7천원)",4~10만원대
60,서울역,명동집,NOT,"삼겹살(200g 1만원), 참치김치찌개, 김치찌개, 동태찌개, 된장찌개(각 5천원), 제육볶음, 오징어볶음(각 6천원)",1~2만원대
61,서울역,모리모리,NOT,"수제돈가스(5천원), 모리모리스페셜(1만3천원), 볶음밥스페셜(6천원)",1~2만원대
62,서울역,미나미야마,NOT,"사누키우동(7천원), 철판치즈돈가스(1만3천원), 미나미라멘(1만2천원)",1~2만원대
63,서울역,베나레스(숙대점),NOT,"커리(8천5백원~1만3천원), 탄두리(9천원~1만2천원), 커리파스타(1만원~1만2천원), 난(2천원~3천5백원), 라이스(2천원~1만1천원), 커플세트(2만3천원), 평일런치(5천5백원)",1~2만원대
64,왕십리,밀도,RIBBON_TWO,"담백식빵(4천8백원), 리치식빵, 시나몬러스크(각 5천원), 초코미니식빵(4천원), 잼(8천원~9천원), 큐브커스타드, 큐브초코(각 3천원)",1만원 미만
65,왕십리,보난자베이커리,RIBBON_TWO,"치즈볼, 나초코, 크랜베리호두(각 3천5백원), 블랙올리브치아바타, 보난자바게트(각 2천8백원)",1만원 미만
66,왕십리,본앤브레드,RIBBON_TWO,"맡림차림(8만원, 12만원), 점심세트(3만9천원~8만5천원), 지하1층 한우맡김차림(35만원)",10~20만원대
67,왕십리,군산아구산꽃게,RIBBON_ONE,"아귀찜, 아귀탕(소 4만5천원, 중 5만5천원, 대 6만5천원), 꽃게양념찜, 꽃게탕(각 중 8만원, 대 10만원), 섞어찜, 섞어탕(각 소 6만원, 중 8만원, 대 10만원)",2~4만원대
